HW2data
Frame,Average R,Average G,Average B,Average H,Average S,Average L
5,115.06,107.35,93.91,47.55,14.83,41.13
6,126.85,116.68,103.64,44.37,14.72,45.29
7,135.17,123.30,110.26,42.52,15.57,48.20
8,136.23,124.87,115.37,72.68,16.77,49.44
9,143.75,128.97,120.37,77.39,17.63,51.83
10,150.25,134.94,124.06,66.89,18.97,53.88
11,153.85,140.29,127.51,61.62,19.39,55.32
12,159.16,144.25,129.45,57.63,20.89,56.74
13,164.20,148.82,133.56,57.94,21.60,58.55
14,169.29,151.40,134.18,56.59,22.81,59.63
15,169.28,146.20,128.40,48.18,24.64,58.51
16,162.25,137.95,120.91,48.33,25.12,55.67
17,167.52,136.40,117.91,42.61,28.85,56.08
18,171.92,145.55,126.63,45.82,29.25,58.65
19,174.82,151.06,132.22,47.19,28.40,60.32
20,168.67,148.38,130.60,52.30,24.75,58.80
21,163.64,145.01,128.16,53.90,22.97,57.36
22,159.77,139.45,122.65,52.08,24.18,55.51
23,156.48,133.21,116.55,51.03,26.43,53.68
24,158.71,127.90,109.43,44.57,28.56,52.71
25,163.91,127.39,106.88,40.19,30.69,53.22
26,169.73,129.47,108.26,39.64,32.21,54.62
27,175.29,134.27,112.42,38.55,33.24,56.52
28,174.69,137.48,117.89,35.87,30.90,57.40
29,173.86,140.73,124.17,42.85,27.47,58.47
30,172.83,144.21,131.61,59.39,24.46,59.71
31,167.29,146.47,133.33,73.98,22.13,58.99
32,162.69,143.72,128.08,58.39,21.49,57.11
33,165.38,138.82,122.54,51.62,24.46,56.48
34,171.66,138.95,121.71,43.06,27.66,57.53
35,171.78,140.51,127.00,57.68,25.99,58.59
36,172.72,138.02,121.58,50.24,29.16,57.81
37,170.87,133.74,115.25,44.05,30.24,56.21
38,170.20,130.62,110.11,40.18,31.82,55.08
39,166.87,126.12,103.87,37.25,33.12,53.21
40,161.63,121.80,99.98,37.63,33.23,51.41
41,165.11,131.30,110.28,38.71,31.23,54.10
42,157.97,127.25,106.53,40.62,29.88,52.00
43,152.09,122.63,103.53,39.03,29.88,50.23
44,158.46,128.84,109.22,41.93,29.55,52.59
45,158.93,133.02,117.15,47.40,25.66,54.20
46,164.11,137.81,123.26,57.36,25.28,56.41
47,163.81,142.97,124.47,55.39,24.54,56.71
48,162.60,137.14,120.17,51.38,25.43,55.52
49,162.74,141.87,126.36,56.06,24.69,56.74
50,159.31,135.28,119.40,51.72,25.79,54.72
51,156.73,129.55,113.11,45.32,26.55,52.99
52,159.20,136.47,121.36,54.04,24.69,55.08
53,154.31,130.43,114.51,45.52,24.89,52.76
54,156.52,135.31,120.25,53.69,23.92,54.34
55,154.52,130.52,114.81,45.61,24.12,52.86
56,154.76,134.42,120.31,56.44,22.90,54.00
57,157.80,139.25,125.57,61.07,23.41,55.60
58,153.02,130.14,114.72,44.63,23.78,52.56
59,154.91,135.85,121.89,57.78,22.17,54.34
60,150.60,128.31,113.52,45.02,23.22,51.85
61,154.01,133.13,119.16,52.35,22.69,53.61
62,156.87,138.88,124.47,56.48,22.10,55.23
63,158.70,144.04,130.05,60.03,20.04,56.70
64,153.59,142.49,128.10,64.44,19.12,55.44
65,158.64,143.98,129.82,58.05,20.33,56.71
66,163.75,148.88,133.77,58.70,21.14,58.50
67,162.94,145.56,128.55,53.67,22.77,57.29
68,164.60,148.98,133.65,67.88,22.84,58.54
69,163.18,143.35,130.55,73.88,25.12,57.64
70,158.08,138.86,128.89,83.53,26.04,56.27
71,165.02,144.76,132.50,76.39,27.41,58.35
72,170.52,148.77,133.77,66.90,27.85,59.70
73,167.88,144.33,128.59,61.23,26.89,58.18
74,160.64,140.48,126.03,66.89,24.64,56.30
75,165.01,144.30,132.52,81.64,26.08,58.32
76,159.11,138.49,126.22,98.58,28.00,55.67
77,150.48,132.47,124.15,110.92,27.52,53.45
78,145.72,130.86,132.01,129.04,27.26,53.98
79,151.56,135.44,137.36,132.14,28.71,56.12
80,152.34,136.46,131.48,123.00,25.78,55.38
81,149.61,130.80,126.99,134.14,27.03,53.73
82,157.00,136.01,131.30,128.73,27.02,55.87
83,162.72,140.91,136.15,122.88,28.88,57.96
84,159.40,139.00,130.30,110.96,28.07,56.45
85,151.16,130.76,117.73,102.89,27.03,52.51
86,148.01,127.01,111.16,96.31,27.99,50.67
87,150.94,128.97,117.51,101.63,27.26,52.30
88,156.49,132.85,124.45,106.03,28.17,54.58
89,159.88,136.45,129.56,106.56,28.91,56.28
90,145.30,125.64,110.16,98.30,27.19,49.95
91,137.56,119.76,100.59,88.73,28.63,46.88
92,139.83,122.38,107.15,87.84,26.82,48.94
93,142.04,128.03,112.46,93.51,26.13,50.46
94,147.07,132.21,115.78,95.36,26.00,51.89
95,154.30,136.94,127.50,103.03,25.67,55.11
96,157.77,140.34,136.17,116.08,26.86,57.31
97,160.98,143.55,141.80,121.98,28.00,59.00
98,161.46,143.15,136.09,114.91,27.63,58.07
99,155.41,135.10,127.14,110.98,26.47,55.08
100,145.37,125.86,112.29,97.19,26.35,50.37
